epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5606,1.74469,3.03768,1.92394,0.10882,0.28571,0.08693,0.02365,2.32816,23.5352,2.68065,0.000656566,0.000656566,0.000656566
2,78.0138,1.83692,3.371,1.99292,0.03935,0.61224,0.03518,0.01546,2.04008,134.551,5.4315,0.00129703,0.00129703,0.00129703
3,114.018,2.45191,3.5419,2.57222,0.05347,0.11303,0.03522,0.00886,2.35233,4.00273,3.98702,0.0019111,0.0019111,0.0019111
4,151.568,2.47343,3.51256,2.54516,0.08462,0.10204,0.02686,0.00706,3.16477,5.60551,3.96908,0.0018812,0.0018812,0.0018812
5,188.851,2.38473,3.08931,2.46883,0.00762,0.18367,0.00394,0.00108,3.59347,574.072,39.5443,0.0018416,0.0018416,0.0018416
6,224.905,2.18452,2.6175,2.32577,0.31382,0.26531,0.19242,0.05049,2.29007,4.87856,3.41556,0.001802,0.001802,0.001802
7,261.051,2.15258,2.46425,2.31472,0.48598,0.36662,0.3687,0.15978,1.97154,3.64153,2.63232,0.0017624,0.0017624,0.0017624
8,297.324,2.09246,2.71441,2.25412,0.40919,0.06122,0.09674,0.05038,2.8538,2.90356,3.07618,0.0017228,0.0017228,0.0017228
9,333.446,1.98217,2.51603,2.19089,0.09034,0.26531,0.04993,0.01504,2.61402,10.9573,3.54899,0.0016832,0.0016832,0.0016832
10,369.103,1.82585,2.21859,2.04616,0.58979,0.38776,0.43091,0.23121,1.80469,4.30119,2.36902,0.0016436,0.0016436,0.0016436
11,405.074,1.80484,2.06556,2.05705,0.59793,0.27337,0.28142,0.1458,2.31796,4.04283,2.96139,0.001604,0.001604,0.001604
12,440.901,1.96569,2.21155,2.18354,0.67885,0.38827,0.48554,0.23557,1.92004,2.82692,2.55257,0.0015644,0.0015644,0.0015644
13,476.673,1.90046,2.04099,2.12416,0.87274,0.44898,0.55482,0.25385,1.88013,2.63917,2.41751,0.0015248,0.0015248,0.0015248
14,513.219,1.68022,1.99918,1.98076,0.94321,0.59184,0.74509,0.40297,1.73437,1.6952,2.26136,0.0014852,0.0014852,0.0014852
15,548.75,1.81727,1.85509,1.99808,0.83748,0.65306,0.74927,0.41595,1.62167,1.88886,2.15119,0.0014456,0.0014456,0.0014456
16,584.429,1.77381,1.75841,2.01309,0.80817,0.61224,0.73693,0.43389,1.55626,1.77508,2.09638,0.001406,0.001406,0.001406
17,620.056,1.74058,1.85098,1.97149,0.88482,0.62721,0.72203,0.44635,1.4611,1.55422,1.98333,0.0013664,0.0013664,0.0013664
18,655.527,1.70578,1.92137,1.96412,0.90173,0.57143,0.72432,0.41624,1.6344,1.67464,2.07669,0.0013268,0.0013268,0.0013268
19,691.053,1.57037,1.54234,1.85824,0.85237,0.57143,0.736,0.40762,1.52399,1.79686,2.07918,0.0012872,0.0012872,0.0012872
20,726.246,1.72204,1.62559,1.98455,0.72026,0.61224,0.70581,0.41918,1.61923,1.63311,2.08691,0.0012476,0.0012476,0.0012476
21,761.529,1.63471,1.64227,1.86693,0.73954,0.75334,0.80619,0.46155,1.61184,1.47038,2.05372,0.001208,0.001208,0.001208
22,796.899,1.67908,1.67694,1.96591,0.9133,0.67347,0.81427,0.49189,1.42271,1.40238,1.97505,0.0011684,0.0011684,0.0011684
23,832.979,1.57812,1.38332,1.85007,0.95432,0.67347,0.7834,0.46896,1.60346,1.52049,2.05084,0.0011288,0.0011288,0.0011288
24,871.568,1.74359,1.59365,1.97256,0.87411,0.70862,0.80735,0.49929,1.45774,1.50233,1.95685,0.0010892,0.0010892,0.0010892
25,909.579,1.60065,1.55263,1.95441,0.71951,0.73295,0.7683,0.49135,1.40297,1.43003,1.94926,0.0010496,0.0010496,0.0010496
26,950.389,1.51285,1.4177,1.83235,0.7839,0.66638,0.75455,0.46776,1.41914,1.3649,1.90412,0.00101,0.00101,0.00101
27,988.375,1.56606,1.43379,1.85304,0.94367,0.71429,0.80988,0.49928,1.39751,1.29087,1.91425,0.0009704,0.0009704,0.0009704
28,1026.44,1.58794,1.46785,1.9284,0.93521,0.71429,0.80291,0.53189,1.37191,1.21944,1.89947,0.0009308,0.0009308,0.0009308
29,1064.18,1.54031,1.48799,1.84561,0.82871,0.69121,0.7785,0.48909,1.35629,1.51675,1.85843,0.0008912,0.0008912,0.0008912
30,1103.35,1.54997,1.44889,1.91383,0.90578,0.73469,0.8256,0.50634,1.40793,1.35274,1.92151,0.0008516,0.0008516,0.0008516
31,1143.99,1.60988,1.47213,1.90697,0.89914,0.72786,0.84328,0.55595,1.34636,1.33842,1.84427,0.000812,0.000812,0.000812
32,1186.01,1.38649,1.43025,1.66644,0.9447,0.6973,0.84217,0.48692,1.39295,1.56208,1.89363,0.0007724,0.0007724,0.0007724
33,1228.39,1.45392,1.35847,1.7667,0.92849,0.7551,0.83769,0.56303,1.27792,1.3679,1.81635,0.0007328,0.0007328,0.0007328
34,1269.72,1.36374,1.3061,1.66216,0.81859,0.7551,0.84341,0.55981,1.31514,1.31188,1.83473,0.0006932,0.0006932,0.0006932
35,1310.99,1.4202,1.296,1.751,0.8606,0.75598,0.85148,0.57532,1.22233,1.25056,1.75204,0.0006536,0.0006536,0.0006536
36,1352.12,1.37835,1.37581,1.73937,0.92528,0.81633,0.8832,0.60029,1.29843,1.17071,1.78271,0.000614,0.000614,0.000614
37,1388.42,1.4254,1.3126,1.71028,0.91245,0.77551,0.86983,0.61357,1.30726,1.20436,1.80847,0.0005744,0.0005744,0.0005744
38,1425.17,1.40167,1.22229,1.7292,0.91053,0.83088,0.88133,0.58282,1.29829,1.12811,1.85515,0.0005348,0.0005348,0.0005348
39,1461.36,1.4013,1.25365,1.75472,0.94835,0.81633,0.8856,0.61131,1.20043,1.07183,1.76518,0.0004952,0.0004952,0.0004952
40,1498.2,1.34847,1.10042,1.70039,0.93058,0.82081,0.88344,0.5786,1.3082,1.13359,1.82241,0.0004556,0.0004556,0.0004556
41,1536.46,1.35555,1.22751,1.76069,0.9523,0.81498,0.87673,0.59032,1.27403,1.18493,1.78063,0.000416,0.000416,0.000416
42,1572.75,1.23905,1.04001,1.61944,0.97316,0.73995,0.85896,0.58125,1.28044,1.16414,1.77134,0.0003764,0.0003764,0.0003764
43,1609.4,1.27479,1.08036,1.65079,0.94868,0.7545,0.85055,0.57908,1.26498,1.23947,1.79705,0.0003368,0.0003368,0.0003368
44,1647.4,1.27605,1.06013,1.74018,0.92525,0.77551,0.85726,0.57648,1.27646,1.19775,1.81003,0.0002972,0.0002972,0.0002972
45,1684.04,1.2192,1.0094,1.60764,0.94801,0.77551,0.86769,0.62039,1.1992,1.14358,1.73364,0.0002576,0.0002576,0.0002576
46,1720.39,1.22635,1.03411,1.67408,0.91015,0.77551,0.86643,0.61154,1.17189,1.1397,1.69736,0.000218,0.000218,0.000218
47,1756.64,1.13342,1.00641,1.60079,0.92764,0.77551,0.87241,0.61451,1.16199,1.09008,1.69761,0.0001784,0.0001784,0.0001784
48,1794.11,1.19625,0.96939,1.60882,0.95118,0.79523,0.89123,0.61792,1.17604,1.07171,1.72273,0.0001388,0.0001388,0.0001388
49,1830.84,1.12862,0.98468,1.6056,0.93165,0.83461,0.89222,0.62702,1.1882,1.05701,1.7352,9.92e-05,9.92e-05,9.92e-05
50,1867.22,1.16066,0.97947,1.59758,0.94902,0.79592,0.89199,0.61263,1.19104,1.05025,1.74238,5.96e-05,5.96e-05,5.96e-05
