epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.572,1.09162,1.30158,1.54631,0.80311,0.55484,0.60813,0.4235,1.39858,2.6874,2.20743,0.000663477,0.000663477,0.000663477
2,56.2365,1.12365,1.11741,1.56996,0.71026,0.50609,0.57645,0.35212,1.58523,2.65636,2.38745,0.00131133,0.00131133,0.00131133
3,80.8082,1.14535,1.14888,1.59127,0.69562,0.61935,0.63909,0.4189,1.58723,1.61214,2.43062,0.00194033,0.00194033,0.00194033
4,104.509,1.11055,1.06519,1.55894,0.8401,0.61935,0.67515,0.47292,1.37386,1.21908,2.0767,0.00191514,0.00191514,0.00191514
5,127.92,1.03357,0.98358,1.49227,0.91405,0.56774,0.64697,0.47004,1.2199,1.63842,1.79542,0.00188686,0.00188686,0.00188686
6,151.432,0.97577,0.91397,1.45313,0.75176,0.52754,0.59049,0.40088,1.30993,1.62114,1.86078,0.00185857,0.00185857,0.00185857
7,174.628,0.95075,0.86319,1.42632,0.84332,0.65806,0.7262,0.59765,0.84162,0.91597,1.47098,0.00183029,0.00183029,0.00183029
8,198.011,0.90129,0.82904,1.37603,0.85559,0.64982,0.74245,0.58334,0.94436,1.08224,1.59829,0.001802,0.001802,0.001802
9,221.239,0.927,0.83589,1.38361,0.78248,0.68387,0.75323,0.57035,1.03409,0.92801,1.71341,0.00177371,0.00177371,0.00177371
10,244.724,0.89033,0.78377,1.38412,0.7712,0.67097,0.7253,0.54174,0.99386,0.94524,1.56144,0.00174543,0.00174543,0.00174543
11,268.576,0.85953,0.77112,1.34613,0.84278,0.65711,0.76026,0.57373,0.92967,0.99585,1.52346,0.00171714,0.00171714,0.00171714
12,292.282,0.84939,0.74822,1.33449,0.9188,0.65707,0.77408,0.57524,0.95376,0.85348,1.50974,0.00168886,0.00168886,0.00168886
13,315.874,0.8448,0.74225,1.336,0.95949,0.61935,0.75732,0.57509,0.99305,0.94643,1.50646,0.00166057,0.00166057,0.00166057
14,339.27,0.8191,0.71595,1.2974,0.77765,0.69032,0.78008,0.60337,0.89888,0.90396,1.44627,0.00163229,0.00163229,0.00163229
15,362.603,0.83018,0.72747,1.3207,0.91181,0.66706,0.77968,0.63247,0.8865,0.79935,1.42849,0.001604,0.001604,0.001604
16,386.937,0.79555,0.70314,1.29178,0.76084,0.67733,0.75901,0.62573,0.85815,0.8939,1.39077,0.00157571,0.00157571,0.00157571
17,411.393,0.78678,0.65505,1.26595,0.81518,0.71613,0.80567,0.64963,0.84789,0.86139,1.39028,0.00154743,0.00154743,0.00154743
18,435.288,0.78154,0.65289,1.27825,0.90029,0.70323,0.80257,0.63478,0.87019,0.69246,1.48081,0.00151914,0.00151914,0.00151914
19,458.768,0.79078,0.67298,1.29092,0.81856,0.72903,0.79406,0.6461,0.84489,0.74052,1.41121,0.00149086,0.00149086,0.00149086
20,482.201,0.75174,0.61904,1.25048,0.87347,0.6681,0.78612,0.64704,0.80809,0.75535,1.36704,0.00146257,0.00146257,0.00146257
21,505.532,0.75441,0.62762,1.23488,0.84189,0.75579,0.82433,0.64679,0.82126,0.70226,1.35048,0.00143429,0.00143429,0.00143429
22,528.847,0.75126,0.64,1.25005,0.88777,0.70968,0.79671,0.65658,0.82336,0.72532,1.37605,0.001406,0.001406,0.001406
